,appl,state,end,dif
2021-03-02 22:30:16.181,fridge,1.0,0,0.0
2021-03-02 22:35:41.951,radiator,1.0,0,0.0
2021-03-02 22:42:11.056,aerothermo,1.0,0,0.0
2021-03-02 22:53:43.357,aerothermo,-1.0,1,692.0
2021-03-02 22:58:08.540,aerothermo,1.0,0,265.0
2021-03-02 22:59:31.331,fridge,-1.0,1,1755.0
2021-03-02 23:22:00.754,aerothermo,-1.0,1,1432.0
2021-03-02 23:22:59.201,microwave,1.0,0,0.0
2021-03-02 23:23:39.270,microwave,-1.0,1,40.0
2021-03-02 23:38:58.939,fridge,1.0,0,2367.0
2021-03-03 00:05:49.963,fridge,-1.0,1,1611.0
2021-03-03 00:47:12.740,fridge,1.0,0,2482.0
2021-03-03 01:15:39.244,fridge,-1.0,1,1706.0
2021-03-03 01:52:50.102,radiator,-1.0,1,11828.0
2021-03-03 01:56:38.522,fridge,1.0,0,2459.0
2021-03-03 02:24:38.151,fridge,-1.0,1,1679.0
2021-03-03 03:05:38.073,fridge,1.0,0,2459.0
2021-03-03 03:34:09.417,fridge,-1.0,1,1711.0
2021-03-03 04:15:29.551,fridge,1.0,0,2480.0
2021-03-03 04:45:14.725,fridge,-1.0,1,1785.0
2021-03-03 05:27:21.847,fridge,1.0,0,2527.0
2021-03-03 05:53:04.908,fridge,-1.0,1,1543.0
2021-03-03 06:35:23.980,fridge,1.0,0,2539.0
2021-03-03 07:00:36.673,fridge,-1.0,1,1512.0
2021-03-03 07:42:08.824,fridge,1.0,0,2492.0
2021-03-03 08:10:21.151,fridge,-1.0,1,1692.0
2021-03-03 08:52:43.446,fridge,1.0,0,2542.0
2021-03-03 09:18:23.063,fridge,-1.0,1,1539.0
2021-03-03 10:01:16.565,fridge,1.0,0,2573.0
2021-03-03 10:29:17.520,fridge,-1.0,1,1680.0
2021-03-03 10:43:11.292,coffeemaker,1.0,0,0.0
2021-03-03 10:44:11.055,coffeemaker,-1.0,1,59.0
2021-03-03 10:46:21.135,coffeemaker,1.0,0,130.0
2021-03-03 10:46:23.956,coffeemaker,-1.0,1,2.0
2021-03-03 10:47:51.224,radiator,1.0,0,32101.0
2021-03-03 11:11:24.999,fridge,1.0,0,2527.0
2021-03-03 11:38:24.530,fridge,-1.0,1,1619.0
2021-03-03 11:46:42.632,aerothermo,1.0,0,44681.0
2021-03-03 12:10:55.492,aerothermo,-1.0,1,1452.0
2021-03-03 12:19:45.235,fridge,1.0,0,2480.0
2021-03-03 12:40:00.236,dishwasher,-1.0,1,0.0
2021-03-03 12:48:16.452,fridge,-1.0,1,1711.0
2021-03-03 13:03:21.422,dishwasher,1.0,0,1401.0
2021-03-03 13:08:51.998,dishwasher,-1.0,1,330.0
2021-03-03 13:29:32.098,fridge,1.0,0,2475.0
2021-03-03 13:58:54.727,fridge,-1.0,1,1762.0
2021-03-03 14:22:25.431,dishwasher,-1.0,0,4413.0
2021-03-03 14:26:10.372,aerothermo,1.0,0,8114.0
2021-03-03 14:40:45.165,fridge,1.0,0,2510.0
2021-03-03 14:48:44.667,aerothermo,-1.0,1,1354.0
2021-03-03 14:51:06.351,microwave,1.0,0,55647.0
2021-03-03 14:52:25.331,aerothermo,1.0,0,220.0
2021-03-03 15:10:38.669,fridge,-1.0,1,1793.0
2021-03-03 15:11:54.846,microwave,1.0,1,1248.0
2021-03-03 15:23:49.705,aerothermo,-1.0,1,1884.0
2021-03-03 15:52:15.372,fridge,1.0,0,2496.0
2021-03-03 15:55:53.432,aerothermo,1.0,0,1923.0
2021-03-03 16:06:31.665,aerothermo,-1.0,1,638.0
2021-03-03 16:19:40.078,fridge,-1.0,1,1644.0
2021-03-03 16:20:42.926,microwave,1.0,0,4128.0
2021-03-03 16:24:27.012,microwave,1.0,1,224.0
2021-03-03 16:33:20.498,microwave,1.0,0,533.0
2021-03-03 16:34:45.879,microwave,-1.0,1,85.0
2021-03-03 16:58:53.329,fridge,1.0,0,2353.0
2021-03-03 17:14:14.892,aerothermo,1.0,0,4063.0
2021-03-03 17:27:41.115,aerothermo,-1.0,1,806.0
2021-03-03 17:30:47.224,fridge,-1.0,1,1913.0
2021-03-03 17:47:51.745,radiator,-1.0,1,25200.0
2021-03-03 17:48:00.973,water heater,1.0,0,0.0
2021-03-03 18:11:02.548,fridge,1.0,0,2415.0
2021-03-03 18:28:25.997,water heater,-1.0,1,2425.0
2021-03-03 18:38:33.698,fridge,-1.0,1,1651.0
2021-03-03 18:42:14.519,coffeemaker,1.0,0,28550.0
2021-03-03 18:42:49.407,microwave,1.0,0,7683.0
2021-03-03 18:43:03.884,coffeemaker,-1.0,1,49.0
2021-03-03 18:43:38.317,coffeemaker,1.0,0,34.0
2021-03-03 19:18:11.774,fridge,1.0,0,2378.0
2021-03-03 19:48:26.321,fridge,-1.0,1,1814.0
2021-03-03 20:29:33.913,fridge,1.0,0,2467.0
2021-03-03 20:56:10.500,fridge,-1.0,1,1596.0
2021-03-03 21:37:18.025,fridge,1.0,0,2467.0
